Samples,Xpos,Ypos,Pow,NebMode
0,4.056693455409404,0.44297638627927505,-1.191644943495195,0
1,4.051577911380406,0.44297638627927505,-1.191644943495195,0
2,4.056693455409404,0.44297638627927505,-1.1967658677864073,0
3,4.056693455409404,0.448070561035081,-1.191644943495195,0
4,4.056693455409404,0.44297638627927505,-1.1967658677864073,0
5,4.072040087496401,0.448070561035081,-1.1967658677864073,0
6,4.0771556315254,0.448070561035081,-1.201886792077616,0
7,4.0771556315254,0.448070561035081,-1.201886792077616,0
8,4.082271175554396,0.448070561035081,-1.1967658677864073,0
9,4.082271175554396,0.448070561035081,-1.1967658677864073,0
10,4.066924543467401,0.448070561035081,-1.1967658677864073,0
11,4.056693455409404,0.44297638627927505,-1.1967658677864073,0
12,4.056693455409404,0.44297638627927505,-1.191644943495195,0
13,4.061808999438403,0.448070561035081,-1.1967658677864073,0
14,4.072040087496401,0.448070561035081,-1.1967658677864073,0
15,4.0771556315254,0.448070561035081,-1.201886792077616,0
16,4.082271175554396,0.448070561035081,-1.1967658677864073,0
17,4.0771556315254,0.448070561035081,-1.1967658677864073,0
18,4.072040087496401,0.448070561035081,-1.1967658677864073,0
19,4.0771556315254,0.448070561035081,-1.201886792077616,0
20,4.0771556315254,0.448070561035081,-1.1967658677864073,0
21,4.072040087496401,0.448070561035081,-1.1967658677864073,0
22,4.0771556315254,0.448070561035081,-1.1967658677864073,0
23,4.082271175554396,0.448070561035081,-1.1967658677864073,0
24,4.072040087496401,0.448070561035081,-1.1967658677864073,0
25,4.061808999438403,0.44297638627927505,-1.1967658677864073,0
26,4.061808999438403,0.448070561035081,-1.1967658677864073,0
27,4.061808999438403,0.448070561035081,-1.1967658677864073,0
28,4.066924543467401,0.448070561035081,-1.1967658677864073,0
29,4.066924543467401,0.448070561035081,-1.1967658677864073,0
30,4.066924543467401,0.448070561035081,-1.1967658677864073,0
31,4.046462367351406,0.44297638627927505,-1.191644943495195,0
32,4.066924543467401,0.448070561035081,-1.1967658677864073,0
33,4.072040087496401,0.448070561035081,-1.1967658677864073,0
34,4.072040087496401,0.448070561035081,-1.1967658677864073,0
35,4.072040087496401,0.448070561035081,-1.1967658677864073,0
36,4.072040087496401,0.448070561035081,-1.1967658677864073,0
37,4.0771556315254,0.448070561035081,-1.1967658677864073,0
38,4.0771556315254,0.448070561035081,-1.1967658677864073,0
39,4.0771556315254,0.448070561035081,-1.1967658677864073,0
40,4.0771556315254,0.448070561035081,-1.1967658677864073,0
41,4.0771556315254,0.448070561035081,-1.1967658677864073,0
42,4.082271175554396,0.448070561035081,-1.1967658677864073,0
43,4.082271175554396,0.448070561035081,-1.1967658677864073,0
44,4.0771556315254,0.448070561035081,-1.1967658677864073,0
45,4.082271175554396,0.448070561035081,-1.1967658677864073,0
46,4.0771556315254,0.448070561035081,-1.1967658677864073,0
47,4.0771556315254,0.448070561035081,-1.1967658677864073,0
48,4.0771556315254,0.448070561035081,-1.1967658677864073,0
49,4.0771556315254,0.448070561035081,-1.1967658677864073,0
50,4.0771556315254,0.448070561035081,-1.1967658677864073,0
51,4.061808999438403,0.44297638627927505,-1.1967658677864073,0
52,4.072040087496401,0.448070561035081,-1.1967658677864073,0
53,4.072040087496401,0.448070561035081,-1.1967658677864073,0
54,4.0771556315254,0.448070561035081,-1.1967658677864073,0
55,4.051577911380406,0.44297638627927505,-1.191644943495195,0
56,4.061808999438403,0.44297638627927505,-1.1967658677864073,0
57,4.066924543467401,0.44297638627927505,-1.1967658677864073,0
58,4.072040087496401,0.448070561035081,-1.1967658677864073,0
59,4.072040087496401,0.448070561035081,-1.1967658677864073,0
60,4.072040087496401,0.448070561035081,-1.1967658677864073,0
61,4.066924543467401,0.448070561035081,-1.1967658677864073,0
62,4.072040087496401,0.448070561035081,-1.1967658677864073,0
63,4.072040087496401,0.448070561035081,-1.1967658677864073,0
64,4.066924543467401,0.448070561035081,-1.1967658677864073,0
65,4.072040087496401,0.448070561035081,-1.1967658677864073,0
66,4.072040087496401,0.448070561035081,-1.1967658677864073,0
67,4.0771556315254,0.448070561035081,-1.1967658677864073,0
68,4.082271175554396,0.448070561035081,-1.1967658677864073,0
69,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
70,4.0771556315254,0.448070561035081,-1.1967658677864073,0
71,4.0771556315254,0.448070561035081,-1.1967658677864073,0
72,4.072040087496401,0.448070561035081,-1.1967658677864073,0
73,4.0771556315254,0.448070561035081,-1.1967658677864073,0
74,4.0771556315254,0.448070561035081,-1.1967658677864073,0
75,4.087386719583396,0.448070561035081,-1.1967658677864073,0
76,4.0925022636123956,0.45316473579088523,-1.1967658677864073,0
77,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
78,4.082271175554396,0.448070561035081,-1.1967658677864073,0
79,4.087386719583396,0.448070561035081,-1.1967658677864073,0
80,4.0771556315254,0.448070561035081,-1.1967658677864073,0
81,4.0771556315254,0.448070561035081,-1.1967658677864073,0
82,4.0771556315254,0.448070561035081,-1.1967658677864073,0
83,4.082271175554396,0.45316473579088523,-1.201886792077616,0
84,4.082271175554396,0.448070561035081,-1.1967658677864073,0
85,4.082271175554396,0.448070561035081,-1.1967658677864073,0
86,4.082271175554396,0.448070561035081,-1.1967658677864073,0
87,4.072040087496401,0.448070561035081,-1.1967658677864073,0
88,4.072040087496401,0.448070561035081,-1.1967658677864073,0
89,4.072040087496401,0.448070561035081,-1.1967658677864073,0
90,4.061808999438403,0.448070561035081,-1.191644943495195,0
91,4.0362312792934105,0.44297638627927505,-1.191644943495195,0
