Samples,Xpos,Ypos,Pow,NebMode
0,4.010653559148414,0.43278803676766486,-1.2121286406600387,0
1,4.005538015119416,0.43278803676766486,-1.2121286406600387,0
2,4.097617807641393,0.4582589105466912,-1.2530960349897207,0
3,4.1436577039023845,0.4633530853024954,-1.2684588078633539,0
4,4.11807998375739,0.4582589105466912,-1.258216959280933,0
5,4.138542159873385,0.4633530853024954,-1.2684588078633539,0
6,4.041346823322407,0.43788221152347084,-1.2223704892424596,0
7,4.087386719583396,0.45316473579088523,-1.2530960349897207,0
8,4.0362312792934105,0.43788221152347084,-1.2223704892424596,0
9,4.061808999438403,0.43788221152347084,-1.2326123378248806,0
10,4.0771556315254,0.448070561035081,-1.2428541864072997,0
11,4.138542159873385,0.4633530853024954,-1.2735797321545643,0
12,4.133426615844387,0.4633530853024954,-1.2633378835721434,0
13,4.15388879196038,0.4684472600583014,-1.2735797321545643,0
14,4.107848895699393,0.4582589105466912,-1.2530960349897207,0
15,4.1436577039023845,0.4684472600583014,-1.2684588078633539,0
16,4.15388879196038,0.4684472600583014,-1.278700656445773,0
17,4.1436577039023845,0.4684472600583014,-1.2684588078633539,0
18,4.15900433598938,0.4633530853024954,-1.2735797321545643,0
19,4.102733351670393,0.4582589105466912,-1.2530960349897207,0
20,4.169235424047377,0.4735414348141056,-1.278700656445773,0
21,4.15900433598938,0.4684472600583014,-1.278700656445773,0
22,4.169235424047377,0.4735414348141056,-1.278700656445773,0
23,4.174350968076377,0.4735414348141056,-1.2838215807369853,0
24,4.169235424047377,0.4684472600583014,-1.2838215807369853,0
25,4.11807998375739,0.4582589105466912,-1.258216959280933,0
26,4.169235424047377,0.4735414348141056,-1.278700656445773,0
27,4.164119880018379,0.4684472600583014,-1.278700656445773,0
28,4.0925022636123956,0.45316473579088523,-1.247975110698512,0
29,4.169235424047377,0.4684472600583014,-1.2838215807369853,0
30,4.15900433598938,0.4684472600583014,-1.278700656445773,0
31,4.174350968076377,0.4684472600583014,-1.278700656445773,0
32,4.174350968076377,0.4735414348141056,-1.2838215807369853,0
33,4.15900433598938,0.4684472600583014,-1.2735797321545643,0
34,4.164119880018379,0.4684472600583014,-1.278700656445773,0
35,4.1436577039023845,0.4684472600583014,-1.2735797321545643,0
36,4.15388879196038,0.4684472600583014,-1.278700656445773,0
37,4.133426615844387,0.4633530853024954,-1.2684588078633539,0
38,4.133426615844387,0.4582589105466912,-1.2633378835721434,0
39,4.148773247931384,0.4633530853024954,-1.2735797321545643,0
40,4.1283110718153875,0.4633530853024954,-1.2633378835721434,0
41,4.133426615844387,0.4633530853024954,-1.2684588078633539,0
42,4.005538015119416,0.43278803676766486,-1.2121286406600387,0
43,4.082271175554396,0.45316473579088523,-1.237733262116091,0
44,4.072040087496401,0.448070561035081,-1.237733262116091,0
45,4.1283110718153875,0.4633530853024954,-1.2633378835721434,0
46,4.138542159873385,0.4633530853024954,-1.2684588078633539,0
47,4.148773247931384,0.4684472600583014,-1.2684588078633539,0
48,4.133426615844387,0.4633530853024954,-1.2684588078633539,0
49,4.11296443972839,0.4582589105466912,-1.258216959280933,0
50,4.1283110718153875,0.4582589105466912,-1.2633378835721434,0
51,4.148773247931384,0.4684472600583014,-1.2735797321545643,0
52,4.15900433598938,0.4684472600583014,-1.2735797321545643,0
53,4.148773247931384,0.4633530853024954,-1.2735797321545643,0
